"component","singular_value","squared_singular_value","explained_energy","cumulative_energy","next_gap","next_gap_ratio"
1,250.99059130489,62996.2769235784,0.218261142105334,0.218261142105334,154.54250061117,2.60233862069839
2,96.4480906937206,9302.23419846416,0.0322291468549973,0.250490288960332,13.9462829044137,1.16904214923423
3,82.5018077893069,6806.54828850374,0.0235824254351752,0.274072714395507,5.90738225610886,1.07712548550349
4,76.5944255331981,5866.70602276062,0.0203261846486156,0.294398899044122,5.73646053583417,1.08095717307218
5,70.8579649973639,5020.85120356765,0.017395579096857,0.311794478140979,7.98023546872381,1.12691672438791
6,62.8777295286401,3953.60887067682,0.0136979394607482,0.325492417601728,2.56244558065482,1.04248418332681
7,60.3152839479853,3637.93347772609,0.0126042292422291,0.338096646843957,7.50681841592333,1.14215179972169
8,52.8084655320619,2788.73403185097,0.00966203567169843,0.347758682515655,1.79529900072958,1.03519285554695
9,51.0131665313323,2602.34315955345,0.00901625330721014,0.356774935822865,2.03605013817554,1.04157145802198
10,48.9771163931568,2398.75793018883,0.00831089821565763,0.365085834038523,2.83908055635292,1.06153449111694
11,46.1380358368039,2128.7183508782,0.00737530090939965,0.372461134947922,1.98012427917649,1.0448418915055
12,44.1579115576274,1949.92115313124,0.0067558281009855,0.379216963048908,1.37565689447506,1.03215484796924
13,42.7822546631523,1830.32131406282,0.00634145444677169,0.38555841749568,1.48820635613001,1.0360392457786
14,41.2940483070223,1705.19842558269,0.00590794526373981,0.391466362759419,1.53021806521109,1.03848266265864
15,39.7638302418112,1581.16219549958,0.00547820099054694,0.396944563749966,0.732701623717716,1.01877223768974
16,39.0311286180935,1523.42900120216,0.00527817467883282,0.402222738428799,0.487492468918262,1.01264780694358
17,38.5436361491752,1485.61188760001,0.00514715096109875,0.407369889389898,0.564972367111174,1.01487604646528
18,37.9786637820641,1442.37890267107,0.00499736305095509,0.412367252440853,1.32587909539014,1.03617403443488
19,36.6527846866739,1343.42662528768,0.0046545263290037,0.417021778769857,0.430907408793225,1.01189633009597
20,36.2218772778807,1312.02439353385,0.00454572804278813,0.421567506812645,0.101017497282413,1.00279665262389
21,36.1208597805983,1304.71651128964,0.0045204086619789,0.426087915474624,0.247350415152304,1.00689507158702
22,35.873509365446,1286.90867419274,0.0044587104307023,0.430546625905326,0.464782919993738,1.01312622527415
23,35.4087264454523,1253.77790848887,0.00434392334939393,0.43489054925472,0.611315052677526,1.01756783129002
24,34.7974113927747,1210.85983963801,0.00419522651869538,0.439085775773415,0.201858102514642,1.00583479908013
25,34.5955532902601,1196.85230745923,0.00414669507968467,0.4432324708531,0.294930787630477,1.00859840918653
26,34.3006225026296,1176.5327040679,0.00407629441380567,0.447308765266906,0.155978246799798,1.00456816142617
27,34.1446442558298,1165.85673135717,0.00403930572001737,0.451348070986923,0.0926659314882414,1.00272130830713
28,34.0519783243416,1159.53722780143,0.00401741074255245,0.455365481729475,0.592271776841891,1.0177010451661
29,33.4597065474997,1119.55196224479,0.00387887509959115,0.459244356829067,0.322612742808367,1.00973569814872
30,33.1370938046913,1098.06698582091,0.00380443680384755,0.463048793632914,0.251685109729429,1.00765339765317
31,32.8854086949619,1081.45010503468,0.00374686483998322,0.466795658472897,0.315484047319366,1.00968636098279
32,32.5699246476425,1060.79999155311,0.00367531906659476,0.470470977539492,0.0700291577429653,1.00215475024419
33,32.4998954898996,1056.24320685439,0.00365953132355279,0.474130508863045,0.0153915864926475,1.00047381319224
34,32.4845039034069,1055.24299385046,0.00365606591824237,0.477786574781287,0.470631744667415,1.01470086912117
35,32.0138721587395,1024.88801059612,0.00355089599968165,0.481337470780969,0.236882804675226,1.00745453894439
36,31.7769893540643,1009.77705240831,0.00349854155663454,0.484836012337604,0.0859012370014334,1.00271058023265
37,31.6910881170628,1004.32506604344,0.00347965223763267,0.488315664575236,0.143285421039263,1.00454185105758
38,31.5478026960236,995.263854947232,0.00344825815564406,0.49176392273088,0.299284487235472,1.00957755773364
39,31.2485182087881,976.469890244962,0.00338314332027718,0.495147066051157,0.233066842149491,1.0075145397497
40,31.0154513666386,961.958223476325,0.00333286522262679,0.498479931273784,0.0306520543063442,1.00098926102433
41,30.9847993123323,960.057788425506,0.00332628084740741,0.501806212121192,0.245244199564606,1.00797813106484
